domain,fb,name,sources,tw,usnpl_tag,website,wp_tags,yt
alvareviewcourier.com,https://www.facebook.com/alvareviewcouriernewsgram/,Alva Review Courier,usnpl.com,,Newspapers,http://www.alvareviewcourier.com,,
alvinsun.net,https://www.facebook.com/TheAlvinSunAdvertiser,Alvin Sun-Advertiser,usnpl.com,,Newspapers,http://www.alvinsun.net,,
amarillo.com,https://www.facebook.com/amarilloglobenews,Amarillo Globe-News,usnpl.com,amarilloglobe,Newspapers,http://amarillo.com,,http://www.youtube.com/user/AmarilloGlobeNews
amboynews.com,,Amboy News,usnpl.com,,Newspapers,http://www.amboynews.com,,
ameliamonitor.com,https://www.facebook.com/pages/Amelia-Bulletin-Monitor/113266922036966,Bulletin Monitor,usnpl.com,,Newspapers,http://www.ameliamonitor.com,,
americanbazaaronline.com,https://www.facebook.com/americanbazaaronline,American Bazaar,usnpl.com,ambazaarmag,Newspapers,http://www.americanbazaaronline.com,,http://www.youtube.com/americanbazaar
americanpress.com,https://www.facebook.com/americanpress,American Press,usnpl.com,americanpress,Newspapers,http://www.americanpress.com,,http://www.youtube.com/user/lcamericanpress
americanrivermessenger.com,https://www.facebook.com/AmericanRiverMessenger,American River Messenger,usnpl.com,,Newspapers,http://www.americanrivermessenger.com,,
americateve.com,,WJAN-CD,stationindex,,TV station,http://www.americateve.com/,,
americustimesrecorder.com,https://www.facebook.com/pages/Americus-Times-Recorder/129884770363190,Times Recorder,usnpl.com,,Newspapers,http://americustimesrecorder.com,,http://www.youtube.com/user/ATRecorder
americusumterobserver.com,https://www.facebook.com/AmericUSumterObserver,Observer,usnpl.com,,Newspapers,http://www.americusumterobserver.com,,
amestrib.com,https://www.facebook.com/AmesTribune,Daily Tribune,usnpl.com,AmesTribNews,Newspapers,http://www.amestrib.com,,http://www.youtube.com/user/AmesTrib
amherstbee.com,https://www.facebook.com/amherstbee,Amherst Bee,usnpl.com,BeeNewspapers,Newspapers,http://www.amherstbee.com,,
amherstbulletin.com,,Amherst Bulletin,usnpl.com,,Newspapers,http://www.amherstbulletin.com,,
amigonews.com,https://www.facebook.com/ClubEnlaceAmigo,Amigo Newspaper,usnpl.com,,Newspapers,http://www.amigonews.com,,https://www.youtube.com/user/Amigonewspaper
amish-heartland.com,https://www.facebook.com/amishheartland,Amish-Heartland,usnpl.com,,Magazines,http://www.amish-heartland.com,,
amisun.com,https://www.facebook.com/AnnaMariaIslandSun,Anna Maria Island Sun,usnpl.com,,Newspapers,http://www.amisun.com,,https://www.youtube.com/user/amisunnewspaper
amityvillerecord.com,https://www.facebook.com/amityville.newspaper,Amityville Record,usnpl.com,,Newspapers,http://www.amityvillerecord.com,,
am-news.com,https://www.facebook.com/am.news,Morning News,usnpl.com,,Newspapers,http://www.am-news.com,,
amny.com,https://www.facebook.com/amnewyork,am New York,usnpl.com,amnewyork,Newspapers,http://www.amny.com,,https://www.youtube.com/user/amnewyork
